id,title,author,year,page
735, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
736, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
737, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
738, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
739, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
740, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
741, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
742, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
743, The Metamorphosis, Franz Kafka, 1915, 55 halaman
744, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
745, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
746, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
747, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
748, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
749, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
750, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
751, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
752, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
753, 1984, George Orwell, 8 Juni 1949, 328 halaman
754, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
755, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
756, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
757, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
758, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
759, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
760, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
761, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
762, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
763, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
764, The Alchemist, Paulo Coelho, 1988, 208 halaman
765, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
766, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
767, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
768, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
769, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
770, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
771, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
772, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
773, War and Peace, Leo Tolstoy, 1869, 1225 halaman
774, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
775, Little Women, Louisa May Alcott, 1868, 759 halaman
776, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
777, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
778, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
779, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
780, The Giver, Lois Lowry, 1993, 240 halaman
781, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
782, The Shining, Stephen King, 28 Januari 1977, 447 halaman
783, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
784, The Outsiders, S.E. Hinton, 1967, 192 halaman
785, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
786, The Book Thief, Markus Zusak, 2005, 584 halaman
787, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
788, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
789, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
790, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
791, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
792, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
793, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
794, The Trial, Franz Kafka, 26 April 1925, 255 halaman
795, Lolita, Vladimir Nabokov, 1955, 336 halaman
796, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
797, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
798, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
799, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
800, The Secret History, Donna Tartt, 1992, 559 halaman
801, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
802, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
803, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
804, The Metamorphosis, Franz Kafka, 1915, 55 halaman
805, Middlemarch, George Eliot, 1871-1872, 800 halaman
806, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
807, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
808, The Color Purple, Alice Walker, 1982, 288 halaman
809, Beloved, Toni Morrison, 1987, 324 halaman
810, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
811, The Martian, Andy Weir, 27 September 2012, 384 halaman
812, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
813, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
814, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
815, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
816, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
817, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
818, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
819, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
820, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
821, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
822, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
823, The Metamorphosis, Franz Kafka, 1915, 55 halaman
824, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
825, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
826, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
827, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
828, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
829, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
830, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
831, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
832, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
833, 1984, George Orwell, 8 Juni 1949, 328 halaman
834, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
835, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
836, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
837, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
838, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
839, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
840, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
841, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
842, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
843, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
844, The Alchemist, Paulo Coelho, 1988, 208 halaman
845, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
846, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
847, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
848, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
849, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
850, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
851, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
852, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
853, War and Peace, Leo Tolstoy, 1869, 1225 halaman
854, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
855, Little Women, Louisa May Alcott, 1868, 759 halaman
856, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
857, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
858, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
859, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
860, The Giver, Lois Lowry, 1993, 240 halaman
861, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
862, The Shining, Stephen King, 28 Januari 1977, 447 halaman
863, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
864, The Outsiders, S.E. Hinton, 1967, 192 halaman
865, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
866, The Book Thief, Markus Zusak, 2005, 584 halaman
867, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
868, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
869, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
870, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
871, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
872, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
873, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
874, The Trial, Franz Kafka, 26 April 1925, 255 halaman
875, Lolita, Vladimir Nabokov, 1955, 336 halaman
876, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
877, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
878, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
879, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
880, The Secret History, Donna Tartt, 1992, 559 halaman
881, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
882, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
883, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
884, The Metamorphosis, Franz Kafka, 1915, 55 halaman
885, Middlemarch, George Eliot, 1871-1872, 800 halaman
886, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
887, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
888, The Color Purple, Alice Walker, 1982, 288 halaman
889, Beloved, Toni Morrison, 1987, 324 halaman
890, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
891, The Martian, Andy Weir, 27 September 2012, 384 halaman
892, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
893, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
894, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
895, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
896, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
897, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
898, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
899, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
900, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
901, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
902, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
903, The Metamorphosis, Franz Kafka, 1915, 55 halaman
904, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
905, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
906, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
907, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
908, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
909, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
910, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
911, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
912, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
913, 1984, George Orwell, 8 Juni 1949, 328 halaman
914, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
915, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
916, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
917, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
918, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
919, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
920, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
921, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
922, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
923, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
924, The Alchemist, Paulo Coelho, 1988, 208 halaman
925, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
926, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
927, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
928, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
929, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
930, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
931, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
932, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
933, War and Peace, Leo Tolstoy, 1869, 1225 halaman
934, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
935, Little Women, Louisa May Alcott, 1868, 759 halaman
936, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
937, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
938, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
939, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
940, The Giver, Lois Lowry, 1993, 240 halaman
941, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
942, The Shining, Stephen King, 28 Januari 1977, 447 halaman
943, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
944, The Outsiders, S.E. Hinton, 1967, 192 halaman
945, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
946, The Book Thief, Markus Zusak, 2005, 584 halaman
947, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
948, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
949, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
950, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
951, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
952, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
953, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
954, The Trial, Franz Kafka, 26 April 1925, 255 halaman
955, Lolita, Vladimir Nabokov, 1955, 336 halaman
956, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
957, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
958, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
959, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
960, The Secret History, Donna Tartt, 1992, 559 halaman
961, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
962, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
963, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
964, The Metamorphosis, Franz Kafka, 1915, 55 halaman
965, Middlemarch, George Eliot, 1871-1872, 800 halaman
966, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
967, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
968, The Color Purple, Alice Walker, 1982, 288 halaman
969, Beloved, Toni Morrison, 1987, 324 halaman
970, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
971, The Martian, Andy Weir, 27 September 2012, 384 halaman
972, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
973, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
974, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
975, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
976, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
977, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
978, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
979, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
980, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
981, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
982, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
983, The Metamorphosis, Franz Kafka, 1915, 55 halaman
984, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
985, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
986, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
987, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
988, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
989, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
990, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
991, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
992, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
993, 1984, George Orwell, 8 Juni 1949, 328 halaman
994, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
995, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
996, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
997, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
998, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
999, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
1000, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
